Commodity,Country,weeklyExports,grossNewSales,Date
Corn,BARBADOS,0,0,2009-10-22
Corn,TRINIDAD AND TOBAGO,5235,0,2009-10-22
Corn,FRENCH WEST INDIES,0,1000,2009-10-22
Corn,COLOMBIA,10263,5342,2009-10-22
Corn,VENEZUELA,0,20420,2009-10-22
Corn,GUYANA,0,0,2009-10-22
Corn,SURINAM,0,0,2009-10-22
Corn,ECUADOR,0,0,2009-10-22
Corn,PERU,34084,41584,2009-10-22
Corn,ICELAND,0,0,2009-10-22
Corn,UNITED KINGDOM,19,0,2009-10-22
Corn,SPAIN,40,0,2009-10-22
Corn,TURKEY,0,0,2009-10-22
Corn,SYRIA,27984,2984,2009-10-22
Corn,LEBANON,0,0,2009-10-22
Corn,IRAN,0,0,2009-10-22
Corn,ISRAEL,0,0,2009-10-22
Corn,SAUDI ARABIA,0,0,2009-10-22
Corn,UNITED ARAB EMIRATES,0,0,2009-10-22
Corn,VIETNAM,0,0,2009-10-22
Corn,MALAYSIA,208,600,2009-10-22
Corn,SINGAPORE,0,0,2009-10-22
Corn,INDONESIA,0,0,2009-10-22
Corn,"CHINA, PEOPLES REPUBLIC OF",0,0,2009-10-22
Corn,"KOREA, REPUBLIC OF",98015,1717,2009-10-22
Corn,HONG KONG,572,763,2009-10-22
Corn,TAIWAN,81668,8764,2009-10-22
Corn,JAPAN,226645,26473,2009-10-22
Corn,"OTHER PACIFIC ISLANDS, NEC",0,0,2009-10-22
Corn,MOROCCO,0,0,2009-10-22
Corn,ALGERIA,0,0,2009-10-22
Corn,TUNISIA,0,0,2009-10-22
Corn,LIBYA,0,0,2009-10-22
Corn,EGYPT,0,0,2009-10-22
Corn,GHANA,0,0,2009-10-22
Corn,UNKNOWN,0,76976,2009-10-22
Corn,CANADA,38740,211221,2009-10-29
Corn,MEXICO,128240,66139,2009-10-29
Corn,GUATEMALA,27198,2408,2009-10-29
Corn,EL SALVADOR,14000,0,2009-10-29
Corn,HONDURAS,28510,5742,2009-10-29
Corn,NICARAGUA,0,0,2009-10-29
Corn,COSTA RICA,0,0,2009-10-29
Corn,PANAMA,0,3000,2009-10-29
Corn,CUBA,0,0,2009-10-29
Corn,JAMAICA,4028,28,2009-10-29
Corn,DOMINICAN REPUBLIC,28200,23800,2009-10-29
Corn,LEEWARD-WINDWARD ISLANDS,350,0,2009-10-29
Corn,BARBADOS,4702,1534,2009-10-29
Corn,TRINIDAD AND TOBAGO,2714,14,2009-10-29
Corn,FRENCH WEST INDIES,0,0,2009-10-29
Corn,COLOMBIA,63697,22557,2009-10-29
Corn,VENEZUELA,18277,0,2009-10-29
Corn,GUYANA,0,0,2009-10-29
Corn,SURINAM,0,0,2009-10-29
Corn,ECUADOR,0,0,2009-10-29
Corn,PERU,46908,2499,2009-10-29
Corn,CHILE,0,0,2009-10-29
Corn,UNITED KINGDOM,19,0,2009-10-29
Corn,SPAIN,0,0,2009-10-29
Corn,TURKEY,0,0,2009-10-29
Corn,SYRIA,0,0,2009-10-29
Corn,LEBANON,0,0,2009-10-29
Corn,IRAN,0,0,2009-10-29
Corn,ISRAEL,0,0,2009-10-29
Corn,JORDAN,0,0,2009-10-29
Corn,SAUDI ARABIA,0,0,2009-10-29
Corn,UNITED ARAB EMIRATES,0,0,2009-10-29
Corn,VIETNAM,201,1,2009-10-29
Corn,MALAYSIA,208,0,2009-10-29
Corn,SINGAPORE,0,0,2009-10-29
Corn,INDONESIA,0,0,2009-10-29
Corn,"CHINA, PEOPLES REPUBLIC OF",0,0,2009-10-29
Corn,"KOREA, REPUBLIC OF",497,0,2009-10-29
Corn,HONG KONG,266,999,2009-10-29
Corn,TAIWAN,19621,25307,2009-10-29
Corn,JAPAN,236143,138803,2009-10-29
Corn,"OTHER PACIFIC ISLANDS, NEC",0,0,2009-10-29
Corn,MOROCCO,45679,1677,2009-10-29
Corn,ALGERIA,0,0,2009-10-29
Corn,TUNISIA,0,0,2009-10-29
Corn,LIBYA,0,0,2009-10-29
Corn,EGYPT,0,0,2009-10-29
Corn,UNKNOWN,0,139028,2009-10-29
Corn,CANADA,22101,119311,2009-11-05
Corn,MEXICO,143117,44544,2009-11-05
Corn,GUATEMALA,0,80531,2009-11-05
Corn,EL SALVADOR,0,0,2009-11-05
Corn,HONDURAS,8499,1500,2009-11-05
Corn,NICARAGUA,0,2000,2009-11-05
Corn,COSTA RICA,24306,1606,2009-11-05
Corn,PANAMA,0,0,2009-11-05
Corn,CUBA,0,0,2009-11-05
Corn,JAMAICA,0,5500,2009-11-05
Corn,DOMINICAN REPUBLIC,49299,23600,2009-11-05
Corn,LEEWARD-WINDWARD ISLANDS,0,0,2009-11-05
Corn,BARBADOS,0,1500,2009-11-05
Corn,TRINIDAD AND TOBAGO,0,0,2009-11-05
Corn,FRENCH WEST INDIES,0,0,2009-11-05
Corn,COLOMBIA,28841,17144,2009-11-05
Corn,VENEZUELA,3498,18478,2009-11-05
Corn,GUYANA,0,0,2009-11-05
Corn,SURINAM,1908,8,2009-11-05
Corn,ECUADOR,0,0,2009-11-05
Corn,PERU,0,0,2009-11-05
Corn,UNITED KINGDOM,19,0,2009-11-05
Corn,SPAIN,40,0,2009-11-05
Corn,TURKEY,0,0,2009-11-05
Corn,SYRIA,0,0,2009-11-05
Corn,LEBANON,0,0,2009-11-05
Corn,IRAN,0,0,2009-11-05
Corn,ISRAEL,0,0,2009-11-05
Corn,JORDAN,0,0,2009-11-05
Corn,SAUDI ARABIA,0,0,2009-11-05
Corn,UNITED ARAB EMIRATES,0,0,2009-11-05
Corn,OMAN,0,0,2009-11-05
Corn,VIETNAM,0,500,2009-11-05
Corn,MALAYSIA,0,600,2009-11-05
Corn,SINGAPORE,0,0,2009-11-05
Corn,INDONESIA,0,0,2009-11-05
Corn,"CHINA, PEOPLES REPUBLIC OF",0,0,2009-11-05
Corn,"KOREA, REPUBLIC OF",57345,1155,2009-11-05
Corn,HONG KONG,331,500,2009-11-05
Corn,TAIWAN,15359,1005,2009-11-05
Corn,JAPAN,403379,191636,2009-11-05
Corn,"OTHER PACIFIC ISLANDS, NEC",0,0,2009-11-05
Corn,MOROCCO,0,0,2009-11-05
Corn,ALGERIA,0,0,2009-11-05
Corn,TUNISIA,0,0,2009-11-05
Corn,LIBYA,0,0,2009-11-05
Corn,EGYPT,0,0,2009-11-05
Corn,UNKNOWN,0,72188,2009-11-05
Corn,CANADA,28871,25324,2009-11-12
Corn,MEXICO,141581,41567,2009-11-12
Corn,GUATEMALA,0,300,2009-11-12
Corn,EL SALVADOR,14837,0,2009-11-12
Corn,HONDURAS,14073,6469,2009-11-12
Corn,NICARAGUA,4082,0,2009-11-12
Corn,COSTA RICA,12117,71,2009-11-12
Corn,PANAMA,0,0,2009-11-12
Corn,CUBA,0,0,2009-11-12
Corn,JAMAICA,0,0,2009-11-12
Corn,DOMINICAN REPUBLIC,0,25040,2009-11-12
Corn,LEEWARD-WINDWARD ISLANDS,0,0,2009-11-12
Corn,BARBADOS,0,0,2009-11-12
Corn,TRINIDAD AND TOBAGO,0,0,2009-11-12
Corn,FRENCH WEST INDIES,3966,3766,2009-11-12
Corn,COLOMBIA,15704,25304,2009-11-12
Corn,VENEZUELA,52961,5028,2009-11-12
Corn,GUYANA,0,0,2009-11-12
Corn,SURINAM,0,0,2009-11-12
Corn,ECUADOR,0,0,2009-11-12
Corn,PERU,0,0,2009-11-12
Corn,CHILE,0,0,2009-11-12
Corn,UNITED KINGDOM,19,0,2009-11-12
Corn,SPAIN,40,0,2009-11-12
Corn,TURKEY,0,0,2009-11-12
Corn,SYRIA,0,0,2009-11-12
Corn,LEBANON,0,0,2009-11-12
Corn,IRAN,0,0,2009-11-12
Corn,ISRAEL,0,0,2009-11-12
Corn,JORDAN,16877,877,2009-11-12
Corn,SAUDI ARABIA,30326,2326,2009-11-12
Corn,UNITED ARAB EMIRATES,0,0,2009-11-12
Corn,VIETNAM,0,0,2009-11-12
Corn,MALAYSIA,415,20,2009-11-12
Corn,SINGAPORE,0,0,2009-11-12
Corn,INDONESIA,0,0,2009-11-12
Corn,"CHINA, PEOPLES REPUBLIC OF",0,0,2009-11-12
Corn,"KOREA, REPUBLIC OF",114631,1499,2009-11-12
Corn,HONG KONG,200,604,2009-11-12
Corn,TAIWAN,11318,20072,2009-11-12
Corn,JAPAN,221226,188032,2009-11-12
Corn,"OTHER PACIFIC ISLANDS, NEC",0,0,2009-11-12
Corn,MOROCCO,0,0,2009-11-12
Corn,ALGERIA,0,0,2009-11-12
Corn,TUNISIA,0,0,2009-11-12
Corn,LIBYA,0,0,2009-11-12
Corn,EGYPT,0,0,2009-11-12
Corn,UNKNOWN,0,57954,2009-11-12
Corn,CANADA,35143,34992,2009-11-19
Corn,MEXICO,122089,703258,2009-11-19
Corn,GUATEMALA,18092,31021,2009-11-19
Corn,EL SALVADOR,13000,0,2009-11-19
Corn,HONDURAS,0,6001,2009-11-19
Corn,NICARAGUA,0,0,2009-11-19
Corn,COSTA RICA,11431,0,2009-11-19
Corn,PANAMA,0,0,2009-11-19
Corn,CUBA,0,0,2009-11-19
Corn,JAMAICA,0,3500,2009-11-19
Corn,DOMINICAN REPUBLIC,23095,18741,2009-11-19
Corn,LEEWARD-WINDWARD ISLANDS,0,0,2009-11-19
Corn,BARBADOS,0,0,2009-11-19
Corn,TRINIDAD AND TOBAGO,0,0,2009-11-19
Corn,FRENCH WEST INDIES,0,0,2009-11-19
Corn,COLOMBIA,15741,6328,2009-11-19
Corn,VENEZUELA,10380,0,2009-11-19
Corn,GUYANA,0,0,2009-11-19
Corn,SURINAM,0,0,2009-11-19
Corn,ECUADOR,0,30000,2009-11-19
Corn,PERU,0,0,2009-11-19
Corn,UNITED KINGDOM,0,0,2009-11-19
Corn,SPAIN,0,0,2009-11-19
Corn,TURKEY,0,0,2009-11-19
Corn,SYRIA,0,0,2009-11-19
Corn,LEBANON,0,0,2009-11-19
Corn,IRAN,0,0,2009-11-19
Corn,ISRAEL,0,0,2009-11-19
Corn,JORDAN,0,0,2009-11-19
Corn,SAUDI ARABIA,0,0,2009-11-19
Corn,UNITED ARAB EMIRATES,0,0,2009-11-19
Corn,BAHRAIN,0,0,2009-11-19
Corn,VIETNAM,0,0,2009-11-19
Corn,MALAYSIA,1491,0,2009-11-19
Corn,SINGAPORE,0,0,2009-11-19
Corn,INDONESIA,0,0,2009-11-19
Corn,"CHINA, PEOPLES REPUBLIC OF",0,0,2009-11-19
Corn,"KOREA, REPUBLIC OF",57070,119030,2009-11-19
Corn,HONG KONG,470,300,2009-11-19
Corn,TAIWAN,71595,75525,2009-11-19
Corn,JAPAN,248330,179985,2009-11-19
Corn,"OTHER PACIFIC ISLANDS, NEC",0,0,2009-11-19
Corn,MOROCCO,0,0,2009-11-19
Corn,ALGERIA,0,0,2009-11-19
Corn,TUNISIA,0,0,2009-11-19
Corn,LIBYA,0,0,2009-11-19
Corn,EGYPT,0,0,2009-11-19
Corn,UNKNOWN,0,63655,2009-11-19
Corn,CANADA,18829,11840,2009-11-26
Corn,MEXICO,177645,33592,2009-11-26
Corn,GUATEMALA,15221,13144,2009-11-26
Corn,EL SALVADOR,0,0,2009-11-26
