Date,grossNewSales
2022-12-15,189
2022-12-15,499605
2022-12-15,0
2022-12-15,49551
2022-12-15,24840
2022-12-15,0
2022-12-15,3305
2022-12-15,4000
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,39
2022-12-15,0
2022-12-15,3500
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,8581
2022-12-15,0
2022-12-15,15790
2022-12-15,20012
2022-12-15,24149
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,0
2022-12-15,3000
2022-12-22,1036
2022-12-22,500844
2022-12-22,2794
2022-12-22,2770
2022-12-22,60753
2022-12-22,24000
2022-12-22,22000
2022-12-22,0
2022-12-22,0
2022-12-22,361
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,7000
2022-12-22,0
2022-12-22,134500
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,0
2022-12-22,6273
2022-12-22,419
2022-12-22,2077
2022-12-22,0
2022-12-22,13180
2022-12-22,0
2022-12-22,0
2022-12-22,4
2022-12-22,0
2022-12-22,0
2022-12-22,155000
2022-12-29,10819
2022-12-29,145575
2022-12-29,0
2022-12-29,28
2022-12-29,83213
2022-12-29,40035
2022-12-29,25518
2022-12-29,1210
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,10494
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,23
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,8398
2022-12-29,97
2022-12-29,0
2022-12-29,2000
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,0
2022-12-29,16096
2023-01-05,33436
2023-01-05,228264
2023-01-05,0
2023-01-05,0
2023-01-05,7500
2023-01-05,6096
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,406
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
