,Date,Open,High,Low,Close,Volume
398,2002-04-10 00:00:00-04:00,201.25,201.5,201.0,201.25,430
399,2002-04-11 00:00:00-04:00,199.75,200.25,199.75,198.75,134
400,2002-04-12 00:00:00-04:00,198.75,198.75,198.25,197.75,231
401,2002-04-15 00:00:00-04:00,197.0,198.0,197.0,196.0,86
402,2002-04-16 00:00:00-04:00,196.0,196.0,195.5,197.75,189
403,2002-04-17 00:00:00-04:00,197.75,198.25,197.75,199.75,271
404,2002-04-18 00:00:00-04:00,199.75,200.5,199.75,198.25,126
405,2002-04-19 00:00:00-04:00,198.25,198.75,198.0,197.25,65
406,2002-04-22 00:00:00-04:00,197.25,198.25,197.25,198.75,124
407,2002-04-23 00:00:00-04:00,198.5,198.75,198.5,198.75,64
408,2002-04-24 00:00:00-04:00,198.75,199.25,198.75,197.75,169
409,2002-04-25 00:00:00-04:00,198.0,198.75,198.0,197.0,264
410,2002-04-26 00:00:00-04:00,197.0,198.5,197.0,196.25,600
411,2002-04-29 00:00:00-04:00,196.25,197.75,196.25,192.5,107
412,2002-04-30 00:00:00-04:00,192.5,193.75,192.5,193.5,139
413,2002-05-01 00:00:00-04:00,193.5,194.5,193.5,196.5,113
414,2002-05-02 00:00:00-04:00,196.25,197.0,196.0,194.5,25
415,2002-05-03 00:00:00-04:00,194.0,194.75,194.0,194.75,18
416,2002-05-06 00:00:00-04:00,193.0,193.0,193.0,194.0,18
417,2002-05-07 00:00:00-04:00,199.0,199.0,199.0,199.0,16
418,2002-05-08 00:00:00-04:00,198.0,198.0,197.75,198.5,16
419,2002-05-09 00:00:00-04:00,200.25,200.25,200.25,200.25,16
420,2002-05-10 00:00:00-04:00,200.5,200.5,200.5,201.25,8
421,2002-05-13 00:00:00-04:00,209.75,209.75,209.75,209.75,8
422,2002-05-14 00:00:00-04:00,209.0,209.0,209.0,209.0,971
423,2002-05-15 00:00:00-04:00,215.5,216.75,215.5,216.25,1082
424,2002-05-16 00:00:00-04:00,216.0,216.0,214.5,213.25,462
425,2002-05-17 00:00:00-04:00,213.25,213.75,212.75,209.0,380
426,2002-05-20 00:00:00-04:00,208.75,210.0,208.5,211.5,777
427,2002-05-21 00:00:00-04:00,212.25,213.5,212.25,210.75,642
428,2002-05-22 00:00:00-04:00,210.75,212.0,210.25,207.5,310
429,2002-05-23 00:00:00-04:00,208.25,208.25,207.5,207.75,214
430,2002-05-24 00:00:00-04:00,207.75,208.0,207.0,207.0,1041
